BWAR,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,BWPA,RANK,PWAR,W,L,WP,SV,HLD,IP,R_P,ER_P,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,PWPA,TWAR,TWPA
26.42,786,1489,277,19,149,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808,0.356,106.6,12.44,70,16.45,79,62,56.02,32,51,1284.2,745,673,1342,208,9,169,470,12,93,1097,3,93,4.71,5.02,1.41,105.3,99.6,-3.91,42.87,8.53
25.8,674,1383,249,26,128,639,86,45,456,83,14,880,126,64,60,0.278,0.345,0.416,0.762,0.346,106.6,-1.13,60,17.86,73,69,51.4,32,68,1284.1,631,573,1285,199,19,103,483,10,92,991,2,68,4.02,4.22,1.38,105.5,100.2,3.13,43.66,2
24.47,821,1484,289,17,203,792,68,32,471,81,22,1157,124,45,37,0.289,0.356,0.471,0.827,0.356,103.9,13.11,40,16.03,68,74,47.88,29,64,1283.2,846,771,1410,295,26,166,548,23,73,1164,7,65,5.41,5.1,1.53,96.5,102.6,-16.1,40.5,-2.99
23.89,829,1403,234,13,233,791,108,39,483,119,6,1079,103,54,34,0.281,0.356,0.473,0.829,0.357,103.8,16.93,90,21.96,78,65,54.54,29,63,1274.2,729,664,1353,232,17,189,425,15,74,1130,2,62,4.69,5.13,1.4,112.1,103.4,-10.28,45.85,6.65
23.83,735,1285,245,22,115,696,139,46,447,72,12,926,92,91,49,0.291,0.362,0.434,0.795,0.353,99.5,15.99,60,15.82,61,65,48.41,26,44,1129.1,760,699,1271,241,21,153,522,19,68,837,1,67,5.57,5.65,1.59,91.6,92.6,-18.1,39.65,-2.11
23.6,825,1481,288,19,165,787,101,33,472,85,25,1208,93,32,50,0.288,0.355,0.448,0.802,0.349,101.3,15.7,70,18.24,75,69,52.08,32,72,1282,780,723,1442,252,18,178,416,13,98,1021,4,59,5.08,5.22,1.45,101.5,97.8,-12.66,41.84,3.04
23.49,789,1479,267,30,141,748,70,34,468,83,15,1066,129,21,42,0.29,0.357,0.437,0.794,0.353,103,10.04,40,18.48,69,73,48.59,40,66,1271,764,714,1488,280,21,149,388,10,97,1005,3,56,5.06,4.8,1.48,98.4,102.1,-12.17,41.97,-2.13
23.49,716,1289,252,26,121,686,63,41,534,70,19,964,95,62,41,0.287,0.369,0.436,0.805,0.359,100.1,6.52,40,21.29,57,68,45.6,28,56,1100,705,645,1268,243,26,126,456,11,52,756,1,52,5.28,5.33,1.57,103.3,100.2,-11.89,44.78,-5.37
23.47,813,1464,254,39,134,765,154,83,556,63,17,956,121,34,59,0.293,0.368,0.44,0.808,0.364,100.8,16.99,80,21.57,77,66,53.84,38,74,1280.1,757,705,1487,249,27,152,435,3,68,895,3,50,4.96,5.11,1.5,106,101.4,-11.47,45.04,5.52
23.14,788,1487,299,12,148,740,71,38,418,75,14,1001,125,51,51,0.293,0.353,0.445,0.797,0.347,102.5,14.02,30,13.21,68,75,47.55,29,43,1268.2,816,750,1434,266,19,159,453,13,89,1058,4,72,5.32,5.05,1.49,94.8,99.2,-17.54,36.35,-3.52
23.06,737,1249,228,36,143,697,154,47,443,67,9,918,90,44,51,0.282,0.353,0.447,0.8,0.354,97.6,12.02,80,25.28,70,57,55.11,31,59,1135.2,608,554,1174,223,12,117,481,8,73,848,5,50,4.39,5.14,1.46,118.5,102.6,-5.78,48.34,6.24
22.89,650,1374,186,20,103,615,104,44,476,51,15,974,113,45,45,0.277,0.344,0.385,0.728,0.336,102.1,1.42,50,13.38,71,71,50,37,59,1277,661,611,1303,225,25,118,481,17,61,848,6,50,4.31,4.51,1.4,96.8,91.6,-1.4,36.27,0.02
22.21,852,1492,249,34,142,792,104,50,552,75,15,864,119,88,55,0.293,0.367,0.439,0.806,0.36,100.1,13.64,20,12.55,65,78,45.45,34,60,1282.1,869,804,1507,251,20,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,-20.19,34.76,-6.55
22.13,641,1316,233,15,94,604,108,47,434,77,17,962,117,49,48,0.267,0.333,0.378,0.711,0.327,99,2.54,70,14.92,79,64,55.24,43,62,1283.1,633,554,1257,223,23,89,499,15,91,953,1,64,3.89,4.16,1.37,105.2,97.8,5.62,37.05,8.16
21.7,765,1393,254,19,177,727,104,50,532,68,22,1186,136,80,28,0.28,0.356,0.446,0.802,0.354,102.9,6.75,30,14.19,66,77,46.15,19,47,1281.1,802,727,1461,253,13,164,489,26,87,1015,3,90,5.11,4.98,1.52,98.7,99,-12.54,35.89,-5.79
21.46,777,1439,252,20,127,732,145,64,596,83,18,1061,120,62,41,0.288,0.37,0.422,0.793,0.359,100.4,14.15,30,11.08,66,78,45.83,27,59,1266.1,865,792,1486,276,32,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,-20.15,32.54,-6
21.4,803,1429,264,28,170,754,101,50,499,87,12,997,109,66,45,0.286,0.358,0.452,0.81,0.36,99.6,10.68,60,19.63,70,73,48.95,38,74,1276,785,708,1456,230,23,131,561,18,59,965,7,69,4.99,5.03,1.58,103.7,103.8,-12.19,41.03,-1.51
20.55,750,1366,252,6,131,711,90,31,569,55,18,875,148,39,48,0.276,0.354,0.408,0.762,0.347,99.5,10.01,40,19.33,71,72,49.65,25,59,1277.1,720,659,1351,241,17,143,447,25,58,1002,4,62,4.64,4.57,1.41,104.8,105.2,-10.7,39.88,-0.69
20.29,786,1464,238,26,118,744,121,70,523,72,10,982,92,65,54,0.29,0.361,0.417,0.779,0.352,98,13.27,70,14.32,71,71,50,34,75,1287.2,807,729,1426,243,23,122,539,27,109,909,1,84,5.1,5.06,1.53,99.8,99,-13.17,34.61,0.1
20.23,753,1464,234,19,182,715,89,60,429,102,13,1018,104,71,47,0.291,0.356,0.454,0.811,0.359,100.1,7.56,50,18.28,69,75,47.91,31,43,1274,784,699,1386,232,22,151,527,18,76,945,7,65,4.94,5.23,1.5,105.7,100.3,-10.56,38.51,-3
20.13,761,1337,222,15,234,733,53,42,427,113,20,1100,97,57,41,0.271,0.341,0.465,0.806,0.349,99.3,12.43,60,17.22,75,68,52.44,30,64,1270.2,767,710,1443,271,17,154,481,35,105,940,7,61,5.03,5.13,1.51,100.1,98.6,-9.09,37.35,3.34
19.89,743,1425,250,17,151,697,92,44,457,112,33,1018,146,76,32,0.285,0.356,0.433,0.789,0.347,98.1,12.54,80,25.17,80,62,56.33,39,59,1287.1,701,653,1357,245,20,162,477,25,79,1096,7,67,4.57,4.91,1.43,110.4,102.6,-3.64,45.06,8.9
19.89,776,1471,241,29,146,732,116,52,468,87,14,1034,115,57,45,0.288,0.355,0.432,0.787,0.344,96.6,8.89,50,18.26,68,72,48.57,33,56,1285.1,802,745,1477,291,18,185,441,10,107,1114,5,45,5.22,5.23,1.49,101.7,100.5,-10.91,38.15,-2.02
19.71,662,1279,246,27,121,631,121,63,416,62,11,870,95,67,35,0.288,0.355,0.437,0.792,0.351,95.8,5.43,30,17.24,54,74,42.18,26,40,1121.2,788,735,1289,252,32,116,561,8,67,896,1,78,5.9,5.26,1.65,88.5,100.6,-15.93,36.95,-10.5
19.36,655,1290,218,14,117,622,118,50,462,87,20,966,92,35,38,0.262,0.334,0.384,0.718,0.331,97.4,0.55,90,30.04,88,55,61.53,51,92,1292.1,546,503,1240,176,14,99,436,12,50,1092,4,50,3.5,3.81,1.3,121.1,112.2,16.03,49.4,16.58
19.05,667,1214,213,22,90,623,104,64,524,63,16,817,112,77,57,0.279,0.361,0.4,0.761,0.343,95.6,7.69,70,23.87,62,64,49.2,35,65,1142.2,643,584,1211,194,27,104,419,25,95,810,1,51,4.6,4.91,1.43,107.6,102.8,-9.04,42.92,-1.35
19,693,1323,214,10,145,656,94,59,490,98,13,1047,113,110,29,0.272,0.349,0.41,0.759,0.338,95.4,2.64,60,21.76,69,73,48.59,31,60,1280.2,724,673,1358,270,11,153,517,31,70,1149,4,73,4.73,4.68,1.46,102.1,103.8,-4.73,40.76,-2.09
18.5,724,1353,224,13,130,692,47,25,534,69,10,957,113,63,38,0.274,0.351,0.404,0.755,0.343,98,8.55,50,18.11,73,70,51.04,33,79,1269.1,795,725,1398,265,34,120,559,8,70,1038,4,78,5.14,4.62,1.54,93.8,104.4,-7.3,36.61,1.25
17.49,826,1478,242,27,142,787,64,38,510,91,19,1025,123,87,41,0.289,0.362,0.431,0.792,0.355,95.6,14.55,40,13.12,66,75,46.8,24,39,1292.2,908,828,1520,230,15,155,634,23,76,976,6,72,5.76,5.44,1.67,91.1,96.5,-19.05,30.61,-4.5
17.46,737,1445,261,16,150,684,64,44,416,94,15,974,112,85,38,0.287,0.351,0.435,0.786,0.344,96.8,8.18,30,13.7,61,81,42.95,31,49,1273,820,749,1474,278,16,166,446,13,100,914,4,77,5.3,5.25,1.51,95,96.4,-18.16,31.16,-9.98
17.45,622,1245,230,26,122,598,107,42,478,78,15,976,107,58,53,0.256,0.329,0.389,0.718,0.328,94.7,-4.93,30,11.35,60,83,41.95,29,60,1275.1,731,658,1332,254,36,125,523,9,70,924,5,49,4.64,4.6,1.46,93.2,92.8,-6.64,28.8,-11.57
17.26,605,1286,248,19,76,566,87,42,496,59,13,919,108,31,45,0.264,0.336,0.369,0.706,0.328,95.1,-3.84,40,14.47,62,79,43.97,30,64,1264,723,655,1362,257,24,101,504,17,76,976,2,51,4.66,4.23,1.48,90.5,99.2,-5.39,31.73,-9.23
16.82,757,1419,255,36,145,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768,0.337,92.7,5.87,20,6.78,55,84,39.56,27,34,1281.1,911,840,1541,281,28,187,548,15,118,1063,4,74,5.9,5.5,1.63,86,91.7,-20.24,23.6,-14.37
16.15,670,1344,221,15,129,633,124,52,507,58,21,1112,118,75,37,0.273,0.345,0.402,0.748,0.335,88.7,2.19,10,12.82,52,91,36.36,16,31,1266.2,875,782,1518,273,25,154,577,17,87,1046,4,88,5.56,5.08,1.65,90.4,96.6,-21.93,28.97,-19.74
16.08,619,1251,223,24,104,594,70,41,490,55,5,839,125,50,43,0.283,0.359,0.415,0.774,0.349,89.3,9.13,20,11.26,49,77,38.88,26,30,1129,889,800,1451,264,48,162,537,14,81,748,3,83,6.38,6,1.76,85.1,88,-23.12,27.34,-13.99
